Auction ID,Heading,Location,Bank Name,Reserve Price,Auction Date,View Auction Link,event_bank,property_category,property_sub_category,property_description,country,state,district,reserve_price_detailed,area,emd_amount,extraction_success_count,master_generation_timestamp
82740,Land and Building in Malda,"Maldah, West Bengal",UCO Bank,"₹5,39,000",29/12/2025,https://albionbankauctions.com/web/view-auctions/3a4a9c2b-f2fb-47e6-b925-2e301d625baa,,,,,,,,,,,0,20250905_044349
85115,"Land and Building in Udumalpet, Tirupur","Tirupur, Tamil Nadu",Bank Of Baroda,"₹1,15,00,000",02/12/2025,https://albionbankauctions.com/web/view-auctions/09438b8d-4188-4196-a3f3-ed21cd61169b,,,,,,,,,,,0,20250905_044349
84003,Land in South 24 Paraganas,"South 24 Parganas, West Bengal",Kotak Mahindra Bank,"₹42,00,000",29/10/2025,https://albionbankauctions.com/web/view-auctions/d45045d2-6e9f-4434-8e01-11e85a857add,,,,,,,,,,,0,20250905_044349
81915,Residential Flat in Kasba,"Kasba, Kolkata, West Bengal",Indian Bank,"₹25,74,000",28/10/2025,https://albionbankauctions.com/web/view-auctions/0769a6d7-87c7-4ae0-bddb-52e495b36950,,,,,,,,,,,0,20250905_044349
85677,Land in Durgapur,"Durgapur, West Bengal",Debts Recovery Tribunal,"₹41,61,000",28/10/2025,https://albionbankauctions.com/web/view-auctions/c2259c46-beb3-462b-8bba-ce65b8e4b610,,,,,,,,,,,0,20250905_044349
85585,Commercial Property for Sale,"Maddipadu, Prakasam, Andhra Pradesh",Andhra Pradesh State Financial Corporation,"₹5,89,19,000",26/10/2025,https://albionbankauctions.com/web/view-auctions/c08d76a9-cdde-4017-ad91-d1ceb1e0ef29,,,,,,,,,,,0,20250905_044349
85998,Commercial Property for Sale,"Lingasamudram, Prakasam, Andhra Pradesh",Andhra Pradesh State Financial Corporation,"₹1,23,09,000",26/10/2025,https://albionbankauctions.com/web/view-auctions/fa920ce4-8c95-4d1e-ae82-baa09be16297,,,,,,,,,,,0,20250905_044349
84130,Factory Land and Building and Residential Land in Civil Lines,"Civil Lines, Ludhiana, Punjab",Central Bank of India,"₹7,59,00,000",21/10/2025,https://albionbankauctions.com/web/view-auctions/5e0f3fd3-4bc5-45c1-820f-a20cfb17bfa0,,,,,,,,,,,0,20250905_044349
80924,Land in Bijpur,"Bijpur, Kolkata, West Bengal",Canara Bank,"₹6,00,000",16/10/2025,https://albionbankauctions.com/web/view-auctions/fe05d0cb-ea13-488f-a235-3923bd948d17,,,,,,,,,,,0,20250905_044349
82581,Flat in North 24 Parganas,"North 24 Parganas, West Bengal",Canara Bank,"₹24,00,000",16/10/2025,https://albionbankauctions.com/web/view-auctions/b15b2c4b-d035-4636-80e6-947a7e166eef,,,,,,,,,,,0,20250905_044349
