Auction ID/CIN/LLPIN,Bank/Organisation Name,Location-City/District/address,_Auction date,_Last Date of EMD Submission,_Reserve Price,EMD Amount,Nature of Assets,Details URL,Auction Notice URL,Source
U17200MH2008PTC187167,Kohinoor Ginning and Pressing Pvt Ltd,"Located at Sr. No. 37/2/2, Adjacent to Solapur- Ahilyanagar Highway, Village Ghogargaon, Taluka Shrigonda, District Ahilyanagar, Maharashtra, 414401",20-09-2025,18-09-2025,88800000.0,8880000.0,Land And Building and Plant and Machinery,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408696_8645.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/fa8d0286a1a351af567c6e8cfbf6c48c.pdf,IBBI_Auctions
U17200MH2008PTC187167,Kohinoor Ginning and Pressing Pvt Ltd,"Located at Sr. No. 37/2/2, Adjacent to Solapur- Ahilyanagar Highway, Village Ghogargaon, Taluka Shrigonda, District Ahilyanagar, Maharashtra, 414401",20-09-2025,18-09-2025,76900000.0,7690000.0,Land and Building,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408722_8646.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-29-004842-nhbj8-fa8d0286a1a351af567c6e8cfbf6c48c.pdf,IBBI_Auctions
U17200MH2008PTC187167,Kohinoor Ginning and Pressing Pvt Ltd,"Located at Sr. No. 37/2/2, Adjacent to Solapur- Ahilyanagar Highway, Village Ghogargaon, Taluka Shrigonda, District Ahilyanagar, Maharashtra, 414401",20-09-2025,18-09-2025,11900000.0,1190000.0,Plant and Machinery,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756408746_8647.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-29-004906-tpevy-fa8d0286a1a351af567c6e8cfbf6c48c.pdf,IBBI_Auctions
L52393MH2001PLC131252,Tara Jewels Limited,"located at Unit No. B-7/2, Basement floor and B-8, SDF- VII, Gems & Jewellery Complex-II, Plot No. F-1, SEEPZ SEZ, Andheri (East), Mumbai - 400 096",26-09-2025,24-09-2025,3000000.0,300000.0,Inventory - Jewellery,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756357684_8666.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-28-103804-lvtbh-d100a36eecd7bd4813e2fcc8a6668516.pdf,IBBI_Auctions
L52393MH2001PLC131252,Tara Jewels Limited,"Unit No. B-8, SDF-VII, Gems & Jewellery Complex-II, Plot No. F-1, SEEPZ SEZ, Andheri (East), Mumbai – 400 096",26-09-2025,24-09-2025,2850000.0,285000.0,Industrial/Commercial Property,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756357612_8665.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-28-103652-kfwz0-d100a36eecd7bd4813e2fcc8a6668516.pdf,IBBI_Auctions
L52393MH2001PLC131252,Tara Jewels Limited,"Unit No. B-7/2, Basement floor, SDF-VII, Gems & Jewellery Complex-II, Plot No. F-1, SEEPZ SEZ, Andheri (East), Mumbai – 400 096",26-09-2025,24-09-2025,5475000.0,547500.0,Industrial/Commercial Property,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756357540_8664.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-28-103540-anxiq-d100a36eecd7bd4813e2fcc8a6668516.pdf,IBBI_Auctions
U15312PB2012PTC036748,Golden Agrarian Private Limited,Faridkot,18-09-2025,16-09-2025,10442800.0,1044280.0,Current Assets: in Block-A Land of Corporate Debtor along with right to acquire stock: in Block B,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756290286_8661.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/1f6d60dfe78f2f79f762237eb3b52788.pdf,IBBI_Auctions
U27100TG2007PLC056809,saibhaskar Irons Limited,Nagarjupalli Village Martur Mandal Prakasham District as per Document but now it is in Bapatla District Andhra Pradesh,25-09-2025,23-09-2025,24931800.0,2493180.0,Land 9.67 Acres ( Industrial Land) at Nagarjupalli Village Martur Mandal Prakasham District as per Document but now it is in Bapatla District Andhra Pradesh,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756177975_8655.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-26-084250-0sleo-58c84e8c5ab86daa0a1536803f36653a.pdf,IBBI_Auctions
U27100TG2007PLC056809,saibhaskar Irons Limited,Nagarjupalli Village Martur mandal Prakasham DIstrict now Bapatla District Andhra Pradesh,23-09-2025,20-09-2025,29524500.0,2952450.0,Sale of company as a going concern basis as per regulation 32(e) read with Regulation 32 A and 33(1) of IBBI Liquidation process regulations 2016,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756177574_8653.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/58c84e8c5ab86daa0a1536803f36653a.pdf,IBBI_Auctions
U27100TG2007PLC056809,saibhaskar Irons Limited,Nagarjupalli Martur Mandal Prakasham District as per Document but now it is Bapatala District Andhra Pradesh,24-09-2025,21-09-2025,29524500.0,2952450.0,Sale of business of the corporate debtor as a going concern basis as per regulation 32 (f) read with Regualtion 32 A and 33 (1) of IBBI ( Liquidation Process) Regulations 2016,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756177798_8654.pdf,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-26-083953-0fodu-58c84e8c5ab86daa0a1536803f36653a.pdf,IBBI_Auctions
