Type of AN,Date,Name of Corporate Debtor (Table),Date of Auction (Table),Name of Insolvency Professional (Table),Auction Notice URL,Reserve Price (Table),Nature of Assets (Table),Last Date of EMD (Table),Details URL
Issue of Auction Notice,02-09-2025,HINDUSTHAN SMALL TOOLS PVT LTD,20-09-2025,Mr. Anup Kumar Singh,https://ibbi.gov.in/uploads/auction_notice_liquidation/6c47bdffb1edacc01e73a98b423b563e.pdf,"5,85,00,000","Sale of Corporate De...Sale of Corporate Debtor, Hindusthan Small Tools  Private Limited, as a going concern in accordance with clause (e) of Regulation 32A of IBBI (Liquidation Process) Regulations, 2016 excluding Certain Assets as specified in E- auction Process Information Document including sale of assets in different Lots as mentioned in the E-auction Sale Notice dated 02/09/2025.",17-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756815799_8701.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-144318-a8yo1-30cc543a76a53d90e3c96ede242364eb.pdf,"51,31,671",Sale of assets and e...Sale of assets and equipment,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756804398_8699.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-144133-4506m-30cc543a76a53d90e3c96ede242364eb.pdf,"47,01,890",Sale of assets and e...Sale of assets and equipment,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756804293_8698.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-143940-10h7l-30cc543a76a53d90e3c96ede242364eb.pdf,"91,80,719",Sale of equipment an...Sale of equipment and assets,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756804180_8697.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-143750-v83xt-30cc543a76a53d90e3c96ede242364eb.pdf,"18,98,846",Sale of equipmet and...Sale of equipmet and assets,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756804070_8696.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-143545-2jp1x-30cc543a76a53d90e3c96ede242364eb.pdf,"18,68,576",Sale of assets and e...Sale of assets and equipment,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756803945_8695.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-143333-14rgd-30cc543a76a53d90e3c96ede242364eb.pdf,"36,14,480",Sale of assets and e...Sale of assets and equipment,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756803813_8694.pdf
Issue of Auction Notice,02-09-2025,BSR DIAGNOSTIC LIMITED,24-09-2025,Mr. Hemant Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-09-02-143131-a14qf-30cc543a76a53d90e3c96ede242364eb.pdf,"17,56,831",Sale of assets and e...Sale of assets and equipment,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756803691_8693.pdf
Issue of Auction Notice,02-09-2025,SAGAR INFRA RAIL INTERNATIONAL LIMITED,15-09-2025,Mr. Kambhammettu Sri Vamsi,https://ibbi.gov.in/uploads/auction_notice_liquidation/aa18e7142b3bede1be93978a1d4dd390.pdf,"62,68,100","Plot nos. 532 & 533/...Plot nos. 532 & 533/ MIGH-II, Sai Ramana Towers, situated at KPHB Colony, Kukatpally Village and Municipality, Balanagar Mandal, Ranga Reddy District, Hyderabad- 500 072, Telangana.",12-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756794084_8692.pdf
Issue of Auction Notice,02-09-2025,GITANJALI GEMS LTD,07-10-2025,Mr. Santanu T Ray,https://ibbi.gov.in/uploads/auction_notice_liquidation/6f6243ea9da9c528a78baa6cbb1af3c2.pdf,"37,27,14,652","The Liquidator in Co...The Liquidator in Consultation with the Committee
members has proposed to sale the assets of the Corporate Debtor",04-10-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756790231_8691.pdf
